City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Rikitea,PF,73.47,broken clouds,-23.1203,-134.9692,People ThankYou
15,Tura,IN,73.72,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
21,Fortuna,US,71.92,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
28,Sao Jose,BR,71.42,overcast clouds,-28.2333,-49.1667,Rancho do Juninhu Guizoni
33,Ribeira Grande,PT,73.38,few clouds,38.5167,-28.7,Quinta da Meia Eira
40,Port Hardy,CA,71.78,clear sky,50.6996,-127.4199,Airport Inn-Port Hardy
54,Lagoa,PT,72.21,clear sky,39.05,-27.9833,Casa Das Faias
72,Kishi,NG,70.7,moderate rain,9.0833,3.85,New NCCF KISI
76,Riachao Das Neves,BR,74.52,clear sky,-11.7461,-44.91,Casa Costa
78,Lagos,NG,74.75,overcast clouds,6.5833,3.75,
90,Sandanski,BG,73.78,overcast clouds,41.5667,23.2833,"Hotel ""Perun"""
113,Kamarion,GR,73.09,clear sky,36.8,25.8167,Rooms Eleni
117,Xingcheng,CN,71.28,light rain,40.6167,120.7167,New Century Hotel
127,Boyolangu,ID,71.24,overcast clouds,-8.1181,111.8935,Yos ega cv
130,Srandakan,ID,72.73,overcast clouds,-7.9386,110.2506,Puri Brata
135,Conde,BR,74.66,clear sky,-7.2597,-34.9075,Pousada Beija Flor
137,East London,ZA,70.83,scattered clouds,-33.0153,27.9116,Tu Casa
145,Zhangye,CN,70.5,clear sky,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
149,Kondagaon,IN,73.22,overcast clouds,19.6,81.6667,AYAN MOTER
150,Baoding,CN,74.25,overcast clouds,38.8511,115.4903,Xiu Lan Hotel
171,Cafelandia,BR,73.08,few clouds,-21.8025,-49.61,Motel
173,Jinchang,CN,72.79,clear sky,38.4953,102.1739,Mingshihui Jinchang International Hotel
177,Guarapari,BR,72.9,scattered clouds,-20.6667,-40.4975,Hotel Porto do Sol
182,Buchanan,LR,74.3,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
185,Camopi,GF,75.0,moderate rain,3.1655,-52.3158,La pousada
197,Ponta Do Sol,PT,74.71,clear sky,32.6667,-17.1,Hotel do Campo
221,Harper,LR,74.75,overcast clouds,4.375,-7.7169,Screensaver
227,Budapest,HU,74.82,clear sky,47.498,19.0399,Mercure Budapest City Center Hotel
249,Odienne,CI,70.84,light rain,9.51,-7.5692,Oustaz Vame DIAKITE
251,Eldorado,BR,74.08,overcast clouds,-23.7869,-54.2836,Villa Verde Hotel
252,Prabumulih,ID,74.86,light rain,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
253,San Cristobal,VE,71.78,overcast clouds,7.7669,-72.225,Pirineos
275,Sao Joao Da Barra,BR,72.28,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
289,Fort Frances,CA,70.02,few clouds,48.5999,-93.4003,LA PLACE RENDEZ-VOUS
291,Tamandare,BR,74.66,few clouds,-8.7597,-35.1047,Pousada 100 Passos
336,Yuncheng,CN,72.54,few clouds,35.0231,110.9928,晋州快捷酒店
