City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Vao,NC,-22.6667,167.4833,69.62,62,99,11.74,overcast clouds
1,Busselton,AU,-33.65,115.3333,58.51,71,100,15.7,overcast clouds
2,Hilo,US,19.7297,-155.09,88.29,72,40,11.5,scattered clouds
3,Betanzos,ES,43.2804,-8.2147,66.85,86,40,2.3,scattered clouds
4,Uglovskoye,RU,51.3557,80.1942,64.6,69,28,6.33,scattered clouds
5,Rikitea,PF,-23.1203,-134.9692,73.47,72,76,21.59,broken clouds
6,Mataura,NZ,-46.1927,168.8643,47.48,96,85,2.66,overcast clouds
7,Bluff,NZ,-46.6,168.3333,47.8,74,85,12.3,overcast clouds
8,Longyearbyen,SJ,78.2186,15.6401,42.64,81,75,11.5,light rain
9,Casper,US,42.8666,-106.3131,84.81,31,0,11.5,clear sky
10,Ahipara,NZ,-35.1667,173.1667,58.57,68,83,10.09,broken clouds
11,Atambua,ID,-9.1061,124.8925,65.1,86,85,5.7,overcast clouds
12,Constantine,DZ,36.365,6.6147,78.21,65,0,5.75,clear sky
13,Mastic Beach,US,40.7668,-72.8521,84.54,89,75,13.0,broken clouds
14,Barrow,US,71.2906,-156.7887,33.78,96,100,12.26,overcast clouds
15,Tura,IN,25.5198,90.2201,73.72,92,46,2.98,scattered clouds
16,Kaitangata,NZ,-46.2817,169.8464,43.25,89,100,8.16,overcast clouds
17,Punta Arenas,CL,-53.15,-70.9167,41.11,87,40,29.93,scattered clouds
18,Halifax,CA,44.6453,-63.5724,78.69,54,20,12.66,few clouds
19,Preston,GB,53.7667,-2.7167,64.38,69,100,6.06,overcast clouds
20,Coihaique,CL,-45.5752,-72.0662,42.75,75,75,5.75,light intensity shower rain
21,Fortuna,US,40.5982,-124.1573,71.92,74,20,17.27,few clouds
22,Upernavik,GL,72.7868,-56.1549,43.43,69,100,5.26,overcast clouds
23,Dikson,RU,73.5069,80.5464,43.25,100,100,15.88,light rain
24,Ushuaia,AR,-54.8,-68.3,40.66,81,40,25.32,light rain
25,Cabo San Lucas,MX,22.8909,-109.9124,94.6,56,40,5.75,scattered clouds
26,Cape Town,ZA,-33.9258,18.4232,58.87,82,75,18.41,light rain
27,Saint George,US,37.1041,-113.5841,98.64,28,0,10.36,clear sky
28,Sao Jose,BR,-28.2333,-49.1667,71.42,65,100,3.78,overcast clouds
29,Avarua,CK,-21.2078,-159.775,78.85,73,20,23.02,few clouds
30,Hofn,IS,64.2539,-15.2082,51.64,92,100,1.83,overcast clouds
31,Champerico,GT,14.3,-91.9167,90.14,80,98,7.54,overcast clouds
32,Chuy,UY,-33.6971,-53.4616,48.06,85,79,15.88,broken clouds
33,Ribeira Grande,PT,38.5167,-28.7,73.38,77,15,4.88,few clouds
34,Fort Nelson,CA,58.8053,-122.7002,76.59,47,75,12.66,broken clouds
35,Hermanus,ZA,-34.4187,19.2345,57.33,77,22,12.17,few clouds
36,Kenora,CA,49.8167,-94.4337,65.37,68,75,10.36,broken clouds
37,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,64,0,8.05,clear sky
38,Sao Joao Da Ponte,BR,-15.9292,-44.0078,68.47,37,0,0.4,clear sky
39,Atar,MR,20.5169,-13.0499,98.56,20,0,7.02,clear sky
40,Port Hardy,CA,50.6996,-127.4199,71.78,68,0,10.36,clear sky
41,Saint-Philippe,RE,-21.3585,55.7679,67.59,84,18,9.62,light rain
42,Port Elizabeth,ZA,-33.918,25.5701,62.31,81,0,9.22,clear sky
43,Bojnurd,IR,37.4747,57.329,75.15,73,40,6.91,scattered clouds
44,Namatanai,PG,-3.6667,152.4333,81.73,75,90,11.25,light rain
45,Jamestown,US,42.097,-79.2353,80.94,41,0,15.99,clear sky
46,Torbay,CA,47.6666,-52.7314,58.28,91,100,12.66,mist
47,Hirara,JP,24.8,125.2833,82.67,83,20,5.75,few clouds
48,Hobart,AU,-42.8794,147.3294,42.66,78,40,8.05,scattered clouds
49,Yellowknife,CA,62.456,-114.3525,68.52,56,75,8.05,broken clouds
50,Arkhangelsk,RU,64.5401,40.5433,60.91,100,75,4.47,light rain
51,Isiro,CD,2.7739,27.616,66.7,97,100,2.1,light rain
52,Portland,US,45.5234,-122.6762,100.49,44,20,6.91,few clouds
53,Khatanga,RU,71.9667,102.5,62.8,65,48,5.14,scattered clouds
54,Lagoa,PT,39.05,-27.9833,72.21,75,2,3.51,clear sky
55,Carnarvon,AU,-24.8667,113.6333,69.42,56,100,2.1,overcast clouds
56,Padang,ID,-0.9492,100.3543,78.01,85,100,4.59,light rain
57,Pangnirtung,CA,66.1451,-65.7125,51.8,93,75,2.3,fog
58,La Ronge,CA,55.1001,-105.2842,79.05,27,20,9.22,few clouds
59,Sardarshahr,IN,28.4333,74.4833,84.92,67,98,13.38,overcast clouds
60,Tasiilaq,GL,65.6145,-37.6368,41.16,95,100,3.87,overcast clouds
61,Kapaa,US,22.0752,-159.319,83.19,71,40,9.22,scattered clouds
62,Mar Del Plata,AR,-38.0023,-57.5575,49.08,96,100,20.0,drizzle
63,Grindavik,IS,63.8424,-22.4338,48.67,93,100,13.8,overcast clouds
64,Talnakh,RU,69.4865,88.3972,54.93,72,0,7.45,clear sky
65,Mahebourg,MU,-20.4081,57.7,69.26,88,40,9.22,scattered clouds
66,Hay River,CA,60.8156,-115.7999,60.78,88,100,0.0,overcast clouds
67,Avera,US,33.194,-82.5271,92.71,44,100,10.38,overcast clouds
68,San Patricio,US,28.017,-97.5169,96.17,47,75,18.1,broken clouds
69,Appleton,US,44.2619,-88.4154,76.6,48,40,17.27,scattered clouds
70,Vaini,TO,-21.2,-175.2,80.76,83,40,10.36,scattered clouds
71,Morondava,MG,-20.2833,44.2833,68.86,78,0,6.64,clear sky
72,Kishi,NG,9.0833,3.85,70.7,96,100,5.53,moderate rain
73,Bambous Virieux,MU,-20.3428,57.7575,69.22,88,40,9.22,scattered clouds
74,Georgetown,MY,5.4112,100.3354,80.53,89,20,4.61,few clouds
75,Lebu,CL,-37.6167,-73.65,49.96,84,0,16.53,clear sky
76,Riachao Das Neves,BR,-11.7461,-44.91,74.52,35,1,3.06,clear sky
77,Valle Hermoso,MX,25.6667,-97.8333,93.09,44,35,19.22,scattered clouds
78,Lagos,NG,6.5833,3.75,74.75,87,100,6.35,overcast clouds
79,Kudahuvadhoo,MV,2.6708,72.8944,81.97,75,76,12.8,broken clouds
80,Adrar,MR,20.5022,-10.0711,99.54,8,27,5.61,scattered clouds
81,Butaritari,KI,3.0707,172.7902,81.88,72,37,15.97,scattered clouds
82,Cherskiy,RU,68.75,161.3,58.03,43,6,2.46,clear sky
83,Atuona,PF,-9.8,-139.0333,76.15,80,28,24.23,light rain
84,Ascension,US,30.2169,-90.9001,85.05,72,0,0.0,clear sky
85,Laguna,US,38.421,-121.4238,100.76,34,0,8.05,clear sky
86,Nanortalik,GL,60.1432,-45.2371,45.37,82,55,4.59,broken clouds
87,Alofi,NU,-19.0595,-169.9187,78.69,78,75,16.11,broken clouds
88,Gimli,CA,50.6336,-96.9907,68.58,62,77,14.85,broken clouds
89,Bethel,US,41.3712,-73.414,86.65,75,100,6.91,overcast clouds
90,Sandanski,BG,41.5667,23.2833,73.78,81,100,2.73,overcast clouds
91,Saskylakh,RU,71.9167,114.0833,60.19,91,100,4.61,light rain
92,Talcahuano,CL,-36.7167,-73.1167,55.08,76,0,10.36,clear sky
93,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,63.19,72,75,6.71,broken clouds
94,New Norfolk,AU,-42.7826,147.0587,42.3,82,13,3.36,light rain
95,Casablanca,MA,33.5928,-7.6192,75.33,78,0,8.99,clear sky
96,Cerkezkoy,TR,41.285,28.0003,69.98,94,0,10.36,clear sky
97,Lompoc,US,34.6391,-120.4579,88.79,72,0,14.97,clear sky
98,Puerto Ayora,EC,-0.7393,-90.3518,78.76,92,72,7.0,broken clouds
99,Castro,BR,-24.7911,-50.0119,62.69,61,100,5.59,overcast clouds
100,Chokurdakh,RU,70.6333,147.9167,53.47,40,100,14.0,overcast clouds
101,Saldanha,ZA,-33.0117,17.9442,57.25,80,39,14.56,light rain
102,Sitka,US,57.0531,-135.33,58.89,94,100,5.75,moderate rain
103,Trairi,BR,-3.2778,-39.2689,78.82,73,95,13.62,overcast clouds
104,Bengkulu,ID,-3.8004,102.2655,75.07,89,93,5.55,overcast clouds
105,San Jose,US,37.3394,-121.895,93.9,51,40,12.66,scattered clouds
106,Saint-Georges,GD,12.0564,-61.7485,82.08,74,20,16.11,few clouds
107,Nantucket,US,41.2835,-70.0995,80.71,88,0,12.66,clear sky
