City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Klaksvik,62.2266,-6.589,47.32,85,39,11.81,FO,2022-07-25 23:41:38
1,Rigaud,45.4793,-74.3024,75.18,73,0,12.33,CA,2022-07-25 23:41:04
2,Jamestown,42.097,-79.2353,71.19,59,0,11.5,US,2022-07-25 23:39:45
3,Ostrovnoy,68.0531,39.5131,51.4,82,43,8.95,RU,2022-07-25 23:41:38
4,Kapaa,22.0752,-159.319,84.18,63,100,16.11,US,2022-07-25 23:41:39
5,Tual,-5.6667,132.75,79.72,83,42,20.69,ID,2022-07-25 23:41:39
6,Flinders,-34.5833,150.8552,61.05,89,84,5.01,AU,2022-07-25 23:41:40
7,Carnarvon,-24.8667,113.6333,61.25,40,0,8.52,AU,2022-07-25 23:41:40
8,Upernavik,72.7868,-56.1549,39.67,88,46,10.2,GL,2022-07-25 23:36:55
9,Bredasdorp,-34.5322,20.0403,46.9,67,0,4.56,ZA,2022-07-25 23:41:41
10,San Quintin,30.4833,-115.95,72.19,70,1,11.83,MX,2022-07-25 23:41:41
11,Nimaparha,20.0667,86.0167,80.33,86,87,5.28,IN,2022-07-25 23:41:42
12,Tila,17.4,-92.4833,76.17,86,93,3.06,MX,2022-07-25 23:41:42
13,Hithadhoo,-0.6,73.0833,81.9,75,15,10.42,MV,2022-07-25 23:41:43
14,Ushuaia,-54.8,-68.3,33.46,80,40,25.32,AR,2022-07-25 23:40:21
15,Albany,42.6001,-73.9662,78.06,60,43,10.96,US,2022-07-25 23:41:43
16,Kashi,39.4547,75.9797,83.41,21,0,6.71,CN,2022-07-25 23:41:44
17,Anshan,41.1236,122.99,79.03,74,99,6.46,CN,2022-07-25 23:41:44
18,Hilo,19.7297,-155.09,90.28,80,75,9.22,US,2022-07-25 23:39:47
19,Cape Town,-33.9258,18.4232,59.38,71,0,5.01,ZA,2022-07-25 23:41:45
20,Mataura,-46.1927,168.8643,45.48,97,100,10.71,NZ,2022-07-25 23:41:47
21,Tasiilaq,65.6145,-37.6368,44.76,89,100,3.02,GL,2022-07-25 23:41:47
22,Yellowknife,62.456,-114.3525,72.12,37,40,16.11,CA,2022-07-25 23:40:16
23,Butaritari,3.0707,172.7902,82.72,69,94,16.89,KI,2022-07-25 23:41:48
24,Vila Franca Do Campo,37.7167,-25.4333,72.01,93,43,3.31,PT,2022-07-25 23:41:48
25,Avarua,-21.2078,-159.775,71.65,64,75,5.75,CK,2022-07-25 23:40:54
26,Port Harcourt,4.7774,7.0134,73.09,95,100,4.29,NG,2022-07-25 23:41:49
27,Hermanus,-34.4187,19.2345,49.8,56,0,8.66,ZA,2022-07-25 23:41:49
28,Horasan,40.0458,42.1728,53.33,72,0,2.51,TR,2022-07-25 23:41:50
29,Hobart,-42.8794,147.3294,53.26,95,75,0.0,AU,2022-07-25 23:37:06
30,Punta Arenas,-53.15,-70.9167,32.11,69,0,11.5,CL,2022-07-25 23:41:50
31,Saint-Pierre,-21.3393,55.4781,67.91,67,0,4.61,RE,2022-07-25 23:41:51
32,Moses Lake,47.1301,-119.2781,103.87,15,0,9.22,US,2022-07-25 23:41:51
33,Saskylakh,71.9167,114.0833,72.88,62,79,6.44,RU,2022-07-25 23:41:52
34,Wolgast,54.05,13.7667,64.06,93,100,9.89,DE,2022-07-25 23:41:52
35,Rikitea,-23.1203,-134.9692,75.61,73,72,14.16,PF,2022-07-25 23:41:52
36,Hasaki,35.7333,140.8333,79.2,85,66,19.17,JP,2022-07-25 23:41:53
37,Sao Filipe,14.8961,-24.4956,78.57,88,89,4.54,CV,2022-07-25 23:41:36
38,Coquimbo,-29.9533,-71.3436,53.33,82,20,5.75,CL,2022-07-25 23:38:01
39,Chuy,-33.6971,-53.4616,57.54,97,100,7.27,UY,2022-07-25 23:41:25
40,Vaini,-21.2,-175.2,78.96,83,20,9.22,TO,2022-07-25 23:41:54
41,Kruisfontein,-34.0033,24.7314,45.88,75,0,6.13,ZA,2022-07-25 23:41:54
42,Neiafu,-18.65,-173.9833,79.48,57,40,11.5,TO,2022-07-25 23:41:55
43,Korla,41.7597,86.1469,79.59,30,18,5.86,CN,2022-07-25 23:41:55
44,Teguldet,57.3064,88.1667,52.34,95,9,2.26,RU,2022-07-25 23:41:56
45,Tres Arroyos,-38.3739,-60.2798,53.2,91,100,11.05,AR,2022-07-25 23:41:56
46,Kaitangata,-46.2817,169.8464,45.54,92,100,17.22,NZ,2022-07-25 23:42:56
47,Nantucket,41.2835,-70.0995,80.71,94,100,16.11,US,2022-07-25 23:42:57
48,Porbandar,21.6422,69.6093,81.86,79,100,16.11,IN,2022-07-25 23:42:57
49,Petauke,-14.2426,31.3253,61.48,48,53,13.58,ZM,2022-07-25 23:42:58
50,Hovd,48.0056,91.6419,57.9,44,3,4.12,MN,2022-07-25 23:42:03
51,Busselton,-33.65,115.3333,61.66,76,91,19.04,AU,2022-07-25 23:40:33
52,Zhangye,38.9342,100.4517,75.06,35,97,4.52,CN,2022-07-25 23:42:59
53,Tiksi,71.6872,128.8694,51.33,81,44,6.08,RU,2022-07-25 23:42:59
